City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Kavaratti,IN,10.5669,72.642,79.0,84,100,30.31,overcast clouds
324,Aykhal,RU,66.0,111.5,43.18,96,100,12.46,overcast clouds
325,High Level,CA,58.5169,-117.136,68.72,35,100,8.05,overcast clouds
326,Altay,CN,47.8667,88.1167,63.05,51,25,4.61,scattered clouds
327,Russell,US,32.3502,-85.1999,92.97,49,0,4.61,clear sky
328,Novo Cruzeiro,BR,-17.4681,-41.8753,74.17,35,3,5.14,clear sky
329,Puerto Escondido,MX,15.85,-97.0667,88.63,55,40,11.5,scattered clouds
330,Dikson,RU,73.5069,80.5464,44.58,100,100,14.94,light rain
331,Suntar,RU,62.1444,117.6319,52.99,89,100,6.96,overcast clouds
332,Sola,VU,-13.8833,167.55,81.09,73,14,15.82,few clouds
333,Faanui,PF,-16.4833,-151.75,77.56,77,33,25.19,light rain
334,Emerald,AU,-23.5333,148.1667,55.35,93,0,7.14,clear sky
335,Salsomaggiore Terme,IT,44.8148,9.9796,85.5,44,0,6.55,clear sky
336,Talnakh,RU,69.4865,88.3972,61.68,77,100,5.57,light rain
337,Ilulissat,GL,69.2167,-51.1,44.62,100,100,10.36,overcast clouds
338,Kang,BW,-23.6752,22.7876,56.91,39,0,7.58,clear sky
339,Templin,DE,53.1186,13.5022,82.09,44,49,4.63,scattered clouds
340,Yeppoon,AU,-23.1333,150.7333,60.58,94,2,4.18,clear sky
341,Musoma,TZ,-1.5,33.8,71.22,68,12,4.03,few clouds
342,Nanortalik,GL,60.1432,-45.2371,46.69,87,100,4.41,overcast clouds
